# sources/allowlist.tsv — GENERATED by `asterwell-build allowlist`; do not edit.
#
# Every code point the family promises, and where its outline comes from:
#   custom    an original Asterwell outline
#   literata  preserved from Literata; neither imported nor redrawn
#   dejavu    imported from DejaVu Sans, scaled to Literata's cap height
#
# Rules live in sources/allowlist.toml. Regenerate with `mise run allowlist`
# and commit the diff; `asterwell-build allowlist --check` fails if this file
# no longer matches the rules and the pinned fonts.
#
# generator 1
# Literata 3.103 — fonts/variable/Literata[opsz,wght].ttf
#     sha256 b41138c9373112f32abb589cc22e8674b06ed4048b0c513be922bdd26f274440
#     from   https://github.com/googlefonts/literata/releases/download/3.103/3.103.zip
# Literata 3.103 — fonts/variable/Literata-Italic[opsz,wght].ttf
#     sha256 d483dfaeba9cbf4ce71d32a52ee65df82f7e35b15fff8d1011cdb242d1fcd465
#     from   https://github.com/googlefonts/literata/releases/download/3.103/3.103.zip
# DejaVu Sans 2.37 — dejavu-fonts-ttf-2.37/ttf/DejaVuSans.ttf
#     sha256 7da195a74c55bef988d0d48f9508bd5d849425c1770dba5d7bfc6ce9ed848954
#     from   https://github.com/dejavu-fonts/dejavu-fonts/releases/download/version_2_37/dejavu-fonts-ttf-2.37.tar.bz2
#
# 532 rows: 8 custom, 24 literata, 500 dejavu
# 21 rows are emoji-presentation by default and need U+FE0E in text
# 0 imported code point(s) appear in Bitstream Vera Sans 1.10 (qa/vera-1.10-codepoints.txt); this must be 0
#
codepoint	char	unicode_name	block	source	glyph_name	group	emoji_presentation	note
U+25A9	▩	SQUARE WITH DIAGONAL CROSSHATCH FILL	Geometric Shapes	dejavu	uni25A9	Geometric Shapes	no	
U+25AA	▪	BLACK SMALL SQUARE	Geometric Shapes	dejavu	uni25AA	Geometric Shapes	no	
U+25AB	▫	WHITE SMALL SQUARE	Geometric Shapes	dejavu	uni25AB	Geometric Shapes	no	
U+25AC	▬	BLACK RECTANGLE	Geometric Shapes	dejavu	uni25AC	Geometric Shapes	no	
U+25AD	▭	WHITE RECTANGLE	Geometric Shapes	dejavu	uni25AD	Geometric Shapes	no	
U+25AE	▮	BLACK VERTICAL RECTANGLE	Geometric Shapes	dejavu	uni25AE	Geometric Shapes	no	
U+25AF	▯	WHITE VERTICAL RECTANGLE	Geometric Shapes	dejavu	uni25AF	Geometric Shapes	no	
U+25B0	▰	BLACK PARALLELOGRAM	Geometric Shapes	dejavu	uni25B0	Geometric Shapes	no	
U+25B1	▱	WHITE PARALLELOGRAM	Geometric Shapes	dejavu	uni25B1	Geometric Shapes	no	
U+25B2	▲	BLACK UP-POINTING TRIANGLE	Geometric Shapes	literata	triagup	Geometric Shapes	no	
U+25B3	△	WHITE UP-POINTING TRIANGLE	Geometric Shapes	literata	uni25B3	Geometric Shapes	no	
U+25B4	▴	BLACK UP-POINTING SMALL TRIANGLE	Geometric Shapes	dejavu	uni25B4	Geometric Shapes	no	
U+25B5	▵	WHITE UP-POINTING SMALL TRIANGLE	Geometric Shapes	dejavu	uni25B5	Geometric Shapes	no	
U+25B6	▶	BLACK RIGHT-POINTING TRIANGLE	Geometric Shapes	literata	uni25B6	Geometric Shapes	no	
U+25B7	▷	WHITE RIGHT-POINTING TRIANGLE	Geometric Shapes	literata	uni25B7	Geometric Shapes	no	
U+25B8	▸	BLACK RIGHT-POINTING SMALL TRIANGLE	Geometric Shapes	dejavu	uni25B8	Geometric Shapes	no	
U+25B9	▹	WHITE RIGHT-POINTING SMALL TRIANGLE	Geometric Shapes	dejavu	uni25B9	Geometric Shapes	no	
U+25BA	►	BLACK RIGHT-POINTING POINTER	Geometric Shapes	dejavu	uni25BA	Geometric Shapes	no	
U+25BB	▻	WHITE RIGHT-POINTING POINTER	Geometric Shapes	dejavu	uni25BB	Geometric Shapes	no	
U+25BC	▼	BLACK DOWN-POINTING TRIANGLE	Geometric Shapes	literata	triagdn	Geometric Shapes	no	
U+25BD	▽	WHITE DOWN-POINTING TRIANGLE	Geometric Shapes	literata	uni25BD	Geometric Shapes	no	
U+25BE	▾	BLACK DOWN-POINTING SMALL TRIANGLE	Geometric Shapes	dejavu	uni25BE	Geometric Shapes	no	
U+25BF	▿	WHITE DOWN-POINTING SMALL TRIANGLE	Geometric Shapes	dejavu	uni25BF	Geometric Shapes	no	
U+25C0	◀	BLACK LEFT-POINTING TRIANGLE	Geometric Shapes	literata	uni25C0	Geometric Shapes	no	
U+25C1	◁	WHITE LEFT-POINTING TRIANGLE	Geometric Shapes	literata	uni25C1	Geometric Shapes	no	
U+25C2	◂	BLACK LEFT-POINTING SMALL TRIANGLE	Geometric Shapes	dejavu	uni25C2	Geometric Shapes	no	
U+25C3	◃	WHITE LEFT-POINTING SMALL TRIANGLE	Geometric Shapes	dejavu	uni25C3	Geometric Shapes	no	
U+25C4	◄	BLACK LEFT-POINTING POINTER	Geometric Shapes	dejavu	uni25C4	Geometric Shapes	no	
U+25C5	◅	WHITE LEFT-POINTING POINTER	Geometric Shapes	dejavu	uni25C5	Geometric Shapes	no	
U+25C6	◆	BLACK DIAMOND	Geometric Shapes	literata	uni25C6	Geometric Shapes	no	
U+25C7	◇	WHITE DIAMOND	Geometric Shapes	literata	uni25C7	Geometric Shapes	no	
U+25C8	◈	WHITE DIAMOND CONTAINING BLACK SMALL DIAMOND	Geometric Shapes	dejavu	uni25C8	Geometric Shapes	no	
U+25C9	◉	FISHEYE	Geometric Shapes	dejavu	uni25C9	Geometric Shapes	no	
U+25CA	◊	LOZENGE	Geometric Shapes	literata	lozenge	Geometric Shapes	no	
U+25CB	○	WHITE CIRCLE	Geometric Shapes	dejavu	uni25CB	Geometric Shapes	no	
U+25CC	◌	DOTTED CIRCLE	Geometric Shapes	dejavu	uni25CC	Geometric Shapes	no	
U+25CD	◍	CIRCLE WITH VERTICAL FILL	Geometric Shapes	dejavu	uni25CD	Geometric Shapes	no	
U+25CE	◎	BULLSEYE	Geometric Shapes	dejavu	uni25CE	Geometric Shapes	no	
U+25CF	●	BLACK CIRCLE	Geometric Shapes	dejavu	uni25CF	Geometric Shapes	no	
U+25D0	◐	CIRCLE WITH LEFT HALF BLACK	Geometric Shapes	dejavu	uni25D0	Geometric Shapes	no	
U+25D1	◑	CIRCLE WITH RIGHT HALF BLACK	Geometric Shapes	dejavu	uni25D1	Geometric Shapes	no	
U+25D2	◒	CIRCLE WITH LOWER HALF BLACK	Geometric Shapes	dejavu	uni25D2	Geometric Shapes	no	
U+25D3	◓	CIRCLE WITH UPPER HALF BLACK	Geometric Shapes	dejavu	uni25D3	Geometric Shapes	no	
U+25D4	◔	CIRCLE WITH UPPER RIGHT QUADRANT BLACK	Geometric Shapes	dejavu	uni25D4	Geometric Shapes	no	
U+25D5	◕	CIRCLE WITH ALL BUT UPPER LEFT QUADRANT BLACK	Geometric Shapes	dejavu	uni25D5	Geometric Shapes	no	
U+25D6	◖	LEFT HALF BLACK CIRCLE	Geometric Shapes	dejavu	uni25D6	Geometric Shapes	no	
U+25D7	◗	RIGHT HALF BLACK CIRCLE	Geometric Shapes	dejavu	uni25D7	Geometric Shapes	no	
U+25D8	◘	INVERSE BULLET	Geometric Shapes	dejavu	uni25D8	Geometric Shapes	no	
U+25D9	◙	INVERSE WHITE CIRCLE	Geometric Shapes	dejavu	uni25D9	Geometric Shapes	no	
U+25DA	◚	UPPER HALF INVERSE WHITE CIRCLE	Geometric Shapes	dejavu	uni25DA	Geometric Shapes	no	
U+25DB	◛	LOWER HALF INVERSE WHITE CIRCLE	Geometric Shapes	dejavu	uni25DB	Geometric Shapes	no	
U+25DC	◜	UPPER LEFT QUADRANT CIRCULAR ARC	Geometric Shapes	dejavu	uni25DC	Geometric Shapes	no	
U+25DD	◝	UPPER RIGHT QUADRANT CIRCULAR ARC	Geometric Shapes	dejavu	uni25DD	Geometric Shapes	no	
U+25DE	◞	LOWER RIGHT QUADRANT CIRCULAR ARC	Geometric Shapes	dejavu	uni25DE	Geometric Shapes	no	
U+25DF	◟	LOWER LEFT QUADRANT CIRCULAR ARC	Geometric Shapes	dejavu	uni25DF	Geometric Shapes	no	
U+25E0	◠	UPPER HALF CIRCLE	Geometric Shapes	dejavu	uni25E0	Geometric Shapes	no	
U+25E1	◡	LOWER HALF CIRCLE	Geometric Shapes	dejavu	uni25E1	Geometric Shapes	no	
U+25E2	◢	BLACK LOWER RIGHT TRIANGLE	Geometric Shapes	dejavu	uni25E2	Geometric Shapes	no	
U+25E3	◣	BLACK LOWER LEFT TRIANGLE	Geometric Shapes	dejavu	uni25E3	Geometric Shapes	no	
U+25E4	◤	BLACK UPPER LEFT TRIANGLE	Geometric Shapes	dejavu	uni25E4	Geometric Shapes	no	
U+25E5	◥	BLACK UPPER RIGHT TRIANGLE	Geometric Shapes	dejavu	uni25E5	Geometric Shapes	no	
U+25E6	◦	WHITE BULLET	Geometric Shapes	dejavu	uni25E6	Geometric Shapes	no	metrics of U+2022
U+25E7	◧	SQUARE WITH LEFT HALF BLACK	Geometric Shapes	dejavu	uni25E7	Geometric Shapes	no	
U+25E8	◨	SQUARE WITH RIGHT HALF BLACK	Geometric Shapes	dejavu	uni25E8	Geometric Shapes	no	
U+25E9	◩	SQUARE WITH UPPER LEFT DIAGONAL HALF BLACK	Geometric Shapes	dejavu	uni25E9	Geometric Shapes	no	
U+25EA	◪	SQUARE WITH LOWER RIGHT DIAGONAL HALF BLACK	Geometric Shapes	dejavu	uni25EA	Geometric Shapes	no	
U+25EB	◫	WHITE SQUARE WITH VERTICAL BISECTING LINE	Geometric Shapes	dejavu	uni25EB	Geometric Shapes	no	
U+25EC	◬	WHITE UP-POINTING TRIANGLE WITH DOT	Geometric Shapes	dejavu	uni25EC	Geometric Shapes	no	
U+25ED	◭	UP-POINTING TRIANGLE WITH LEFT HALF BLACK	Geometric Shapes	dejavu	uni25ED	Geometric Shapes	no	
U+25EE	◮	UP-POINTING TRIANGLE WITH RIGHT HALF BLACK	Geometric Shapes	dejavu	uni25EE	Geometric Shapes	no	
U+25EF	◯	LARGE CIRCLE	Geometric Shapes	dejavu	uni25EF	Geometric Shapes	no	
U+25F0	◰	WHITE SQUARE WITH UPPER LEFT QUADRANT	Geometric Shapes	dejavu	uni25F0	Geometric Shapes	no	
U+25F1	◱	WHITE SQUARE WITH LOWER LEFT QUADRANT	Geometric Shapes	dejavu	uni25F1	Geometric Shapes	no	
U+25F2	◲	WHITE SQUARE WITH LOWER RIGHT QUADRANT	Geometric Shapes	dejavu	uni25F2	Geometric Shapes	no	
