# sources/allowlist.tsv — GENERATED by `asterwell-build allowlist`; do not edit.
#
# Every code point the family promises, and where its outline comes from:
#   custom    an original Asterwell outline
#   literata  preserved from Literata; neither imported nor redrawn
#   dejavu    imported from DejaVu Sans, scaled to Literata's cap height
#
# Rules live in sources/allowlist.toml. Regenerate with `mise run allowlist`
# and commit the diff; `asterwell-build allowlist --check` fails if this file
# no longer matches the rules and the pinned fonts.
#
# generator 1
# Literata 3.103 — fonts/variable/Literata[opsz,wght].ttf
#     sha256 b41138c9373112f32abb589cc22e8674b06ed4048b0c513be922bdd26f274440
#     from   https://github.com/googlefonts/literata/releases/download/3.103/3.103.zip
# Literata 3.103 — fonts/variable/Literata-Italic[opsz,wght].ttf
#     sha256 d483dfaeba9cbf4ce71d32a52ee65df82f7e35b15fff8d1011cdb242d1fcd465
#     from   https://github.com/googlefonts/literata/releases/download/3.103/3.103.zip
# DejaVu Sans 2.37 — dejavu-fonts-ttf-2.37/ttf/DejaVuSans.ttf
#     sha256 7da195a74c55bef988d0d48f9508bd5d849425c1770dba5d7bfc6ce9ed848954
#     from   https://github.com/dejavu-fonts/dejavu-fonts/releases/download/version_2_37/dejavu-fonts-ttf-2.37.tar.bz2
#
# 532 rows: 8 custom, 24 literata, 500 dejavu
# 21 rows are emoji-presentation by default and need U+FE0E in text
# 0 imported code point(s) appear in Bitstream Vera Sans 1.10 (qa/vera-1.10-codepoints.txt); this must be 0
#
codepoint	char	unicode_name	block	source	glyph_name	group	emoji_presentation	note
U+2637	☷	TRIGRAM FOR EARTH	Miscellaneous Symbols	dejavu	uni2637	Miscellaneous Symbols	no	
U+2638	☸	WHEEL OF DHARMA	Miscellaneous Symbols	dejavu	uni2638	Miscellaneous Symbols	no	
U+2639	☹	WHITE FROWNING FACE	Miscellaneous Symbols	dejavu	uni2639	Miscellaneous Symbols	no	
U+263A	☺	WHITE SMILING FACE	Miscellaneous Symbols	dejavu	uni263A	Miscellaneous Symbols	no	
U+263B	☻	BLACK SMILING FACE	Miscellaneous Symbols	dejavu	uni263B	Miscellaneous Symbols	no	
U+263C	☼	WHITE SUN WITH RAYS	Miscellaneous Symbols	dejavu	uni263C	Miscellaneous Symbols	no	
U+263D	☽	FIRST QUARTER MOON	Miscellaneous Symbols	dejavu	uni263D	Miscellaneous Symbols	no	
U+263E	☾	LAST QUARTER MOON	Miscellaneous Symbols	dejavu	uni263E	Miscellaneous Symbols	no	
U+263F	☿	MERCURY	Miscellaneous Symbols	dejavu	uni263F	Miscellaneous Symbols	no	
U+2640	♀	FEMALE SIGN	Miscellaneous Symbols	dejavu	uni2640	Miscellaneous Symbols	no	
U+2641	♁	EARTH	Miscellaneous Symbols	dejavu	uni2641	Miscellaneous Symbols	no	
U+2642	♂	MALE SIGN	Miscellaneous Symbols	dejavu	uni2642	Miscellaneous Symbols	no	
U+2643	♃	JUPITER	Miscellaneous Symbols	dejavu	uni2643	Miscellaneous Symbols	no	
U+2644	♄	SATURN	Miscellaneous Symbols	dejavu	uni2644	Miscellaneous Symbols	no	
U+2645	♅	URANUS	Miscellaneous Symbols	dejavu	uni2645	Miscellaneous Symbols	no	
U+2646	♆	NEPTUNE	Miscellaneous Symbols	dejavu	uni2646	Miscellaneous Symbols	no	
U+2647	♇	PLUTO	Miscellaneous Symbols	dejavu	uni2647	Miscellaneous Symbols	no	
U+2648	♈	ARIES	Miscellaneous Symbols	dejavu	uni2648	Miscellaneous Symbols	yes	
U+2649	♉	TAURUS	Miscellaneous Symbols	dejavu	uni2649	Miscellaneous Symbols	yes	
U+264A	♊	GEMINI	Miscellaneous Symbols	dejavu	uni264A	Miscellaneous Symbols	yes	
U+264B	♋	CANCER	Miscellaneous Symbols	dejavu	uni264B	Miscellaneous Symbols	yes	
U+264C	♌	LEO	Miscellaneous Symbols	dejavu	uni264C	Miscellaneous Symbols	yes	
U+264D	♍	VIRGO	Miscellaneous Symbols	dejavu	uni264D	Miscellaneous Symbols	yes	
U+264E	♎	LIBRA	Miscellaneous Symbols	dejavu	uni264E	Miscellaneous Symbols	yes	
U+264F	♏	SCORPIUS	Miscellaneous Symbols	dejavu	uni264F	Miscellaneous Symbols	yes	
U+2650	♐	SAGITTARIUS	Miscellaneous Symbols	dejavu	uni2650	Miscellaneous Symbols	yes	
U+2651	♑	CAPRICORN	Miscellaneous Symbols	dejavu	uni2651	Miscellaneous Symbols	yes	
U+2652	♒	AQUARIUS	Miscellaneous Symbols	dejavu	uni2652	Miscellaneous Symbols	yes	
U+2653	♓	PISCES	Miscellaneous Symbols	dejavu	uni2653	Miscellaneous Symbols	yes	
U+2654	♔	WHITE CHESS KING	Miscellaneous Symbols	dejavu	uni2654	Miscellaneous Symbols	no	
U+2655	♕	WHITE CHESS QUEEN	Miscellaneous Symbols	dejavu	uni2655	Miscellaneous Symbols	no	
U+2656	♖	WHITE CHESS ROOK	Miscellaneous Symbols	dejavu	uni2656	Miscellaneous Symbols	no	
U+2657	♗	WHITE CHESS BISHOP	Miscellaneous Symbols	dejavu	uni2657	Miscellaneous Symbols	no	
U+2658	♘	WHITE CHESS KNIGHT	Miscellaneous Symbols	dejavu	uni2658	Miscellaneous Symbols	no	
U+2659	♙	WHITE CHESS PAWN	Miscellaneous Symbols	dejavu	uni2659	Miscellaneous Symbols	no	
U+265A	♚	BLACK CHESS KING	Miscellaneous Symbols	dejavu	uni265A	Miscellaneous Symbols	no	
U+265B	♛	BLACK CHESS QUEEN	Miscellaneous Symbols	dejavu	uni265B	Miscellaneous Symbols	no	
U+265C	♜	BLACK CHESS ROOK	Miscellaneous Symbols	dejavu	uni265C	Miscellaneous Symbols	no	
U+265D	♝	BLACK CHESS BISHOP	Miscellaneous Symbols	dejavu	uni265D	Miscellaneous Symbols	no	
U+265E	♞	BLACK CHESS KNIGHT	Miscellaneous Symbols	dejavu	uni265E	Miscellaneous Symbols	no	
U+265F	♟	BLACK CHESS PAWN	Miscellaneous Symbols	dejavu	uni265F	Miscellaneous Symbols	no	
U+2660	♠	BLACK SPADE SUIT	Miscellaneous Symbols	dejavu	uni2660	Miscellaneous Symbols	no	
U+2661	♡	WHITE HEART SUIT	Miscellaneous Symbols	dejavu	uni2661	Miscellaneous Symbols	no	
U+2662	♢	WHITE DIAMOND SUIT	Miscellaneous Symbols	dejavu	uni2662	Miscellaneous Symbols	no	
U+2663	♣	BLACK CLUB SUIT	Miscellaneous Symbols	dejavu	uni2663	Miscellaneous Symbols	no	
U+2664	♤	WHITE SPADE SUIT	Miscellaneous Symbols	dejavu	uni2664	Miscellaneous Symbols	no	
U+2665	♥	BLACK HEART SUIT	Miscellaneous Symbols	dejavu	uni2665	Miscellaneous Symbols	no	
U+2666	♦	BLACK DIAMOND SUIT	Miscellaneous Symbols	dejavu	uni2666	Miscellaneous Symbols	no	
U+2667	♧	WHITE CLUB SUIT	Miscellaneous Symbols	dejavu	uni2667	Miscellaneous Symbols	no	
U+2668	♨	HOT SPRINGS	Miscellaneous Symbols	dejavu	uni2668	Miscellaneous Symbols	no	
U+2669	♩	QUARTER NOTE	Miscellaneous Symbols	dejavu	uni2669	Miscellaneous Symbols	no	
U+266A	♪	EIGHTH NOTE	Miscellaneous Symbols	dejavu	uni266A	Miscellaneous Symbols	no	
U+266B	♫	BEAMED EIGHTH NOTES	Miscellaneous Symbols	dejavu	uni266B	Miscellaneous Symbols	no	
U+266C	♬	BEAMED SIXTEENTH NOTES	Miscellaneous Symbols	dejavu	uni266C	Miscellaneous Symbols	no	
U+266D	♭	MUSIC FLAT SIGN	Miscellaneous Symbols	dejavu	uni266D	Miscellaneous Symbols	no	
U+266E	♮	MUSIC NATURAL SIGN	Miscellaneous Symbols	dejavu	uni266E	Miscellaneous Symbols	no	
U+266F	♯	MUSIC SHARP SIGN	Miscellaneous Symbols	dejavu	uni266F	Miscellaneous Symbols	no	
U+2670	♰	WEST SYRIAC CROSS	Miscellaneous Symbols	dejavu	uni2670	Miscellaneous Symbols	no	
U+2671	♱	EAST SYRIAC CROSS	Miscellaneous Symbols	dejavu	uni2671	Miscellaneous Symbols	no	
U+2672	♲	UNIVERSAL RECYCLING SYMBOL	Miscellaneous Symbols	dejavu	uni2672	Miscellaneous Symbols	no	
U+2673	♳	RECYCLING SYMBOL FOR TYPE-1 PLASTICS	Miscellaneous Symbols	dejavu	uni2673	Miscellaneous Symbols	no	
U+2674	♴	RECYCLING SYMBOL FOR TYPE-2 PLASTICS	Miscellaneous Symbols	dejavu	uni2674	Miscellaneous Symbols	no	
U+2675	♵	RECYCLING SYMBOL FOR TYPE-3 PLASTICS	Miscellaneous Symbols	dejavu	uni2675	Miscellaneous Symbols	no	
U+2676	♶	RECYCLING SYMBOL FOR TYPE-4 PLASTICS	Miscellaneous Symbols	dejavu	uni2676	Miscellaneous Symbols	no	
U+2677	♷	RECYCLING SYMBOL FOR TYPE-5 PLASTICS	Miscellaneous Symbols	dejavu	uni2677	Miscellaneous Symbols	no	
U+2678	♸	RECYCLING SYMBOL FOR TYPE-6 PLASTICS	Miscellaneous Symbols	dejavu	uni2678	Miscellaneous Symbols	no	
U+2679	♹	RECYCLING SYMBOL FOR TYPE-7 PLASTICS	Miscellaneous Symbols	dejavu	uni2679	Miscellaneous Symbols	no	
U+267A	♺	RECYCLING SYMBOL FOR GENERIC MATERIALS	Miscellaneous Symbols	dejavu	uni267A	Miscellaneous Symbols	no	
U+267B	♻	BLACK UNIVERSAL RECYCLING SYMBOL	Miscellaneous Symbols	dejavu	uni267B	Miscellaneous Symbols	no	
U+267C	♼	RECYCLED PAPER SYMBOL	Miscellaneous Symbols	dejavu	uni267C	Miscellaneous Symbols	no	
U+267D	♽	PARTIALLY-RECYCLED PAPER SYMBOL	Miscellaneous Symbols	dejavu	uni267D	Miscellaneous Symbols	no	
U+267E	♾	PERMANENT PAPER SIGN	Miscellaneous Symbols	dejavu	uni267E	Miscellaneous Symbols	no	
U+267F	♿	WHEELCHAIR SYMBOL	Miscellaneous Symbols	dejavu	uni267F	Miscellaneous Symbols	yes	
U+2680	⚀	DIE FACE-1	Miscellaneous Symbols	dejavu	uni2680	Miscellaneous Symbols	no	
U+2681	⚁	DIE FACE-2	Miscellaneous Symbols	dejavu	uni2681	Miscellaneous Symbols	no	
U+2682	⚂	DIE FACE-3	Miscellaneous Symbols	dejavu	uni2682	Miscellaneous Symbols	no	
U+2683	⚃	DIE FACE-4	Miscellaneous Symbols	dejavu	uni2683	Miscellaneous Symbols	no	
U+2684	⚄	DIE FACE-5	Miscellaneous Symbols	dejavu	uni2684	Miscellaneous Symbols	no	
U+2685	⚅	DIE FACE-6	Miscellaneous Symbols	dejavu	uni2685	Miscellaneous Symbols	no	
U+2686	⚆	WHITE CIRCLE WITH DOT RIGHT	Miscellaneous Symbols	dejavu	uni2686	Miscellaneous Symbols	no	
U+2687	⚇	WHITE CIRCLE WITH TWO DOTS	Miscellaneous Symbols	dejavu	uni2687	Miscellaneous Symbols	no	
U+2688	⚈	BLACK CIRCLE WITH WHITE DOT RIGHT	Miscellaneous Symbols	dejavu	uni2688	Miscellaneous Symbols	no	
U+2689	⚉	BLACK CIRCLE WITH TWO WHITE DOTS	Miscellaneous Symbols	dejavu	uni2689	Miscellaneous Symbols	no	
U+268A	⚊	MONOGRAM FOR YANG	Miscellaneous Symbols	dejavu	uni268A	Miscellaneous Symbols	no	
U+268B	⚋	MONOGRAM FOR YIN	Miscellaneous Symbols	dejavu	uni268B	Miscellaneous Symbols	no	
U+268C	⚌	DIGRAM FOR GREATER YANG	Miscellaneous Symbols	dejavu	uni268C	Miscellaneous Symbols	no	
U+268D	⚍	DIGRAM FOR LESSER YIN	Miscellaneous Symbols	dejavu	uni268D	Miscellaneous Symbols	no	
U+268E	⚎	DIGRAM FOR LESSER YANG	Miscellaneous Symbols	dejavu	uni268E	Miscellaneous Symbols	no	
U+268F	⚏	DIGRAM FOR GREATER YIN	Miscellaneous Symbols	dejavu	uni268F	Miscellaneous Symbols	no	
U+2690	⚐	WHITE FLAG	Miscellaneous Symbols	dejavu	uni2690	Miscellaneous Symbols	no	
U+2691	⚑	BLACK FLAG	Miscellaneous Symbols	dejavu	uni2691	Miscellaneous Symbols	no	
U+2692	⚒	HAMMER AND PICK	Miscellaneous Symbols	dejavu	uni2692	Miscellaneous Symbols	no	
U+2693	⚓	ANCHOR	Miscellaneous Symbols	dejavu	uni2693	Miscellaneous Symbols	yes	
U+2694	⚔	CROSSED SWORDS	Miscellaneous Symbols	dejavu	uni2694	Miscellaneous Symbols	no	
U+2695	⚕	STAFF OF AESCULAPIUS	Miscellaneous Symbols	dejavu	uni2695	Miscellaneous Symbols	no	
U+2696	⚖	SCALES	Miscellaneous Symbols	dejavu	uni2696	Miscellaneous Symbols	no	
U+2697	⚗	ALEMBIC	Miscellaneous Symbols	dejavu	uni2697	Miscellaneous Symbols	no	
U+2698	⚘	FLOWER	Miscellaneous Symbols	dejavu	uni2698	Miscellaneous Symbols	no	
U+2699	⚙	GEAR	Miscellaneous Symbols	dejavu	uni2699	Miscellaneous Symbols	no	
U+269A	⚚	STAFF OF HERMES	Miscellaneous Symbols	dejavu	uni269A	Miscellaneous Symbols	no	
U+269B	⚛	ATOM SYMBOL	Miscellaneous Symbols	dejavu	uni269B	Miscellaneous Symbols	no	
U+269C	⚜	FLEUR-DE-LIS	Miscellaneous Symbols	dejavu	uni269C	Miscellaneous Symbols	no	
U+269E	⚞	THREE LINES CONVERGING RIGHT	Miscellaneous Symbols	dejavu	uni269E	Miscellaneous Symbols	no	
U+269F	⚟	THREE LINES CONVERGING LEFT	Miscellaneous Symbols	dejavu	uni269F	Miscellaneous Symbols	no	
U+26A0	⚠	WARNING SIGN	Miscellaneous Symbols	dejavu	uni26A0	Miscellaneous Symbols	no	
U+26A1	⚡	HIGH VOLTAGE SIGN	Miscellaneous Symbols	dejavu	uni26A1	Miscellaneous Symbols	yes	
U+26A2	⚢	DOUBLED FEMALE SIGN	Miscellaneous Symbols	dejavu	uni26A2	Miscellaneous Symbols	no	
U+26A3	⚣	DOUBLED MALE SIGN	Miscellaneous Symbols	dejavu	uni26A3	Miscellaneous Symbols	no	
U+26A4	⚤	INTERLOCKED FEMALE AND MALE SIGN	Miscellaneous Symbols	dejavu	uni26A4	Miscellaneous Symbols	no	
U+26A5	⚥	MALE AND FEMALE SIGN	Miscellaneous Symbols	dejavu	uni26A5	Miscellaneous Symbols	no	
U+26A6	⚦	MALE WITH STROKE SIGN	Miscellaneous Symbols	dejavu	uni26A6	Miscellaneous Symbols	no	
U+26A7	⚧	MALE WITH STROKE AND MALE AND FEMALE SIGN	Miscellaneous Symbols	dejavu	uni26A7	Miscellaneous Symbols	no	
U+26A8	⚨	VERTICAL MALE WITH STROKE SIGN	Miscellaneous Symbols	dejavu	uni26A8	Miscellaneous Symbols	no	
U+26A9	⚩	HORIZONTAL MALE WITH STROKE SIGN	Miscellaneous Symbols	dejavu	uni26A9	Miscellaneous Symbols	no	
U+26AA	⚪	MEDIUM WHITE CIRCLE	Miscellaneous Symbols	dejavu	uni26AA	Miscellaneous Symbols	yes	
U+26AB	⚫	MEDIUM BLACK CIRCLE	Miscellaneous Symbols	dejavu	uni26AB	Miscellaneous Symbols	yes	
U+26AC	⚬	MEDIUM SMALL WHITE CIRCLE	Miscellaneous Symbols	dejavu	uni26AC	Miscellaneous Symbols	no	
U+26AD	⚭	MARRIAGE SYMBOL	Miscellaneous Symbols	dejavu	uni26AD	Miscellaneous Symbols	no	
U+26AE	⚮	DIVORCE SYMBOL	Miscellaneous Symbols	dejavu	uni26AE	Miscellaneous Symbols	no	
U+26AF	⚯	UNMARRIED PARTNERSHIP SYMBOL	Miscellaneous Symbols	dejavu	uni26AF	Miscellaneous Symbols	no	
U+26B0	⚰	COFFIN	Miscellaneous Symbols	dejavu	uni26B0	Miscellaneous Symbols	no	
U+26B1	⚱	FUNERAL URN	Miscellaneous Symbols	dejavu	uni26B1	Miscellaneous Symbols	no	
U+26B2	⚲	NEUTER	Miscellaneous Symbols	dejavu	uni26B2	Miscellaneous Symbols	no	
U+26B3	⚳	CERES	Miscellaneous Symbols	dejavu	uni26B3	Miscellaneous Symbols	no	
U+26B4	⚴	PALLAS	Miscellaneous Symbols	dejavu	uni26B4	Miscellaneous Symbols	no	
U+26B5	⚵	JUNO	Miscellaneous Symbols	dejavu	uni26B5	Miscellaneous Symbols	no	
U+26B6	⚶	VESTA	Miscellaneous Symbols	dejavu	uni26B6	Miscellaneous Symbols	no	
U+26B7	⚷	CHIRON	Miscellaneous Symbols	dejavu	uni26B7	Miscellaneous Symbols	no	
U+26B8	⚸	BLACK MOON LILITH	Miscellaneous Symbols	dejavu	uni26B8	Miscellaneous Symbols	no	
U+26C0	⛀	WHITE DRAUGHTS MAN	Miscellaneous Symbols	dejavu	uni26C0	Miscellaneous Symbols	no	
U+26C1	⛁	WHITE DRAUGHTS KING	Miscellaneous Symbols	dejavu	uni26C1	Miscellaneous Symbols	no	
U+26C2	⛂	BLACK DRAUGHTS MAN	Miscellaneous Symbols	dejavu	uni26C2	Miscellaneous Symbols	no	
U+26C3	⛃	BLACK DRAUGHTS KING	Miscellaneous Symbols	dejavu	uni26C3	Miscellaneous Symbols	no	
U+26E2	⛢	ASTRONOMICAL SYMBOL FOR URANUS	Miscellaneous Symbols	dejavu	uni26E2	Miscellaneous Symbols	no	
U+2701	✁	UPPER BLADE SCISSORS	Dingbats	dejavu	uni2701	Dingbats	no	
U+2702	✂	BLACK SCISSORS	Dingbats	dejavu	uni2702	Dingbats	no	
U+2703	✃	LOWER BLADE SCISSORS	Dingbats	dejavu	uni2703	Dingbats	no	
U+2704	✄	WHITE SCISSORS	Dingbats	dejavu	uni2704	Dingbats	no	
U+2706	✆	TELEPHONE LOCATION SIGN	Dingbats	dejavu	uni2706	Dingbats	no	
U+2707	✇	TAPE DRIVE	Dingbats	dejavu	uni2707	Dingbats	no	
U+2708	✈	AIRPLANE	Dingbats	dejavu	uni2708	Dingbats	no	
U+2709	✉	ENVELOPE	Dingbats	dejavu	uni2709	Dingbats	no	
U+270C	✌	VICTORY HAND	Dingbats	dejavu	uni270C	Dingbats	no	
U+270D	✍	WRITING HAND	Dingbats	dejavu	uni270D	Dingbats	no	
U+270E	✎	LOWER RIGHT PENCIL	Dingbats	dejavu	uni270E	Dingbats	no	
U+270F	✏	PENCIL	Dingbats	dejavu	uni270F	Dingbats	no	
U+2710	✐	UPPER RIGHT PENCIL	Dingbats	dejavu	uni2710	Dingbats	no	
U+2711	✑	WHITE NIB	Dingbats	dejavu	uni2711	Dingbats	no	
U+2712	✒	BLACK NIB	Dingbats	dejavu	uni2712	Dingbats	no	
U+2713	✓	CHECK MARK	Dingbats	dejavu	uni2713	Dingbats	no	
U+2714	✔	HEAVY CHECK MARK	Dingbats	dejavu	uni2714	Dingbats	no	
U+2715	✕	MULTIPLICATION X	Dingbats	dejavu	uni2715	Dingbats	no	
U+2716	✖	HEAVY MULTIPLICATION X	Dingbats	dejavu	uni2716	Dingbats	no	
U+2717	✗	BALLOT X	Dingbats	dejavu	uni2717	Dingbats	no	
U+2718	✘	HEAVY BALLOT X	Dingbats	dejavu	uni2718	Dingbats	no	
U+2719	✙	OUTLINED GREEK CROSS	Dingbats	dejavu	uni2719	Dingbats	no	
U+271A	✚	HEAVY GREEK CROSS	Dingbats	dejavu	uni271A	Dingbats	no	
U+271B	✛	OPEN CENTRE CROSS	Dingbats	dejavu	uni271B	Dingbats	no	
U+271C	✜	HEAVY OPEN CENTRE CROSS	Dingbats	dejavu	uni271C	Dingbats	no	
U+271D	✝	LATIN CROSS	Dingbats	dejavu	uni271D	Dingbats	no	
U+271E	✞	SHADOWED WHITE LATIN CROSS	Dingbats	dejavu	uni271E	Dingbats	no	
U+271F	✟	OUTLINED LATIN CROSS	Dingbats	dejavu	uni271F	Dingbats	no	
U+2720	✠	MALTESE CROSS	Dingbats	dejavu	uni2720	Dingbats	no	
U+2721	✡	STAR OF DAVID	Dingbats	dejavu	uni2721	Dingbats	no	
U+2722	✢	FOUR TEARDROP-SPOKED ASTERISK	Dingbats	dejavu	uni2722	Dingbats	no	
U+2723	✣	FOUR BALLOON-SPOKED ASTERISK	Dingbats	dejavu	uni2723	Dingbats	no	
U+2724	✤	HEAVY FOUR BALLOON-SPOKED ASTERISK	Dingbats	dejavu	uni2724	Dingbats	no	
U+2725	✥	FOUR CLUB-SPOKED ASTERISK	Dingbats	dejavu	uni2725	Dingbats	no	
U+2726	✦	BLACK FOUR POINTED STAR	Dingbats	dejavu	uni2726	Dingbats	no	
U+2727	✧	WHITE FOUR POINTED STAR	Dingbats	dejavu	uni2727	Dingbats	no	
U+2729	✩	STRESS OUTLINED WHITE STAR	Dingbats	dejavu	uni2729	Dingbats	no	
U+272A	✪	CIRCLED WHITE STAR	Dingbats	dejavu	uni272A	Dingbats	no	
U+272B	✫	OPEN CENTRE BLACK STAR	Dingbats	dejavu	uni272B	Dingbats	no	
U+272C	✬	BLACK CENTRE WHITE STAR	Dingbats	dejavu	uni272C	Dingbats	no	
U+272D	✭	OUTLINED BLACK STAR	Dingbats	dejavu	uni272D	Dingbats	no	
U+272E	✮	HEAVY OUTLINED BLACK STAR	Dingbats	dejavu	uni272E	Dingbats	no	
U+272F	✯	PINWHEEL STAR	Dingbats	dejavu	uni272F	Dingbats	no	
U+2730	✰	SHADOWED WHITE STAR	Dingbats	dejavu	uni2730	Dingbats	no	
U+2731	✱	HEAVY ASTERISK	Dingbats	dejavu	uni2731	Dingbats	no	
U+2732	✲	OPEN CENTRE ASTERISK	Dingbats	dejavu	uni2732	Dingbats	no	
U+2733	✳	EIGHT SPOKED ASTERISK	Dingbats	dejavu	uni2733	Dingbats	no	
U+2734	✴	EIGHT POINTED BLACK STAR	Dingbats	dejavu	uni2734	Dingbats	no	
U+2735	✵	EIGHT POINTED PINWHEEL STAR	Dingbats	dejavu	uni2735	Dingbats	no	
U+2736	✶	SIX POINTED BLACK STAR	Dingbats	dejavu	uni2736	Dingbats	no	
U+2737	✷	EIGHT POINTED RECTILINEAR BLACK STAR	Dingbats	dejavu	uni2737	Dingbats	no	
U+2738	✸	HEAVY EIGHT POINTED RECTILINEAR BLACK STAR	Dingbats	dejavu	uni2738	Dingbats	no	
U+2739	✹	TWELVE POINTED BLACK STAR	Dingbats	dejavu	uni2739	Dingbats	no	
U+273A	✺	SIXTEEN POINTED ASTERISK	Dingbats	dejavu	uni273A	Dingbats	no	
U+273B	✻	TEARDROP-SPOKED ASTERISK	Dingbats	custom	uni273B	custom	no	
U+273C	✼	OPEN CENTRE TEARDROP-SPOKED ASTERISK	Dingbats	custom	uni273C	custom	no	
U+273D	✽	HEAVY TEARDROP-SPOKED ASTERISK	Dingbats	custom	uni273D	custom	no	
U+273E	✾	SIX PETALLED BLACK AND WHITE FLORETTE	Dingbats	custom	uni273E	custom	no	
U+273F	✿	BLACK FLORETTE	Dingbats	dejavu	uni273F	Dingbats	no	
U+2740	❀	WHITE FLORETTE	Dingbats	dejavu	uni2740	Dingbats	no	
U+2741	❁	EIGHT PETALLED OUTLINED BLACK FLORETTE	Dingbats	dejavu	uni2741	Dingbats	no	
U+2742	❂	CIRCLED OPEN CENTRE EIGHT POINTED STAR	Dingbats	dejavu	uni2742	Dingbats	no	
U+2743	❃	HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK	Dingbats	custom	uni2743	custom	no	
U+2744	❄	SNOWFLAKE	Dingbats	dejavu	uni2744	Dingbats	no	
U+2745	❅	TIGHT TRIFOLIATE SNOWFLAKE	Dingbats	dejavu	uni2745	Dingbats	no	
U+2746	❆	HEAVY CHEVRON SNOWFLAKE	Dingbats	dejavu	uni2746	Dingbats	no	
U+2747	❇	SPARKLE	Dingbats	dejavu	uni2747	Dingbats	no	
U+2748	❈	HEAVY SPARKLE	Dingbats	dejavu	uni2748	Dingbats	no	
U+2749	❉	BALLOON-SPOKED ASTERISK	Dingbats	dejavu	uni2749	Dingbats	no	
U+274A	❊	EIGHT TEARDROP-SPOKED PROPELLER ASTERISK	Dingbats	dejavu	uni274A	Dingbats	no	
U+274B	❋	HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK	Dingbats	dejavu	uni274B	Dingbats	no	
U+274D	❍	SHADOWED WHITE CIRCLE	Dingbats	dejavu	uni274D	Dingbats	no	
U+274F	❏	LOWER RIGHT DROP-SHADOWED WHITE SQUARE	Dingbats	dejavu	uni274F	Dingbats	no	
U+2750	❐	UPPER RIGHT DROP-SHADOWED WHITE SQUARE	Dingbats	dejavu	uni2750	Dingbats	no	
U+2751	❑	LOWER RIGHT SHADOWED WHITE SQUARE	Dingbats	dejavu	uni2751	Dingbats	no	
U+2752	❒	UPPER RIGHT SHADOWED WHITE SQUARE	Dingbats	dejavu	uni2752	Dingbats	no	
U+2756	❖	BLACK DIAMOND MINUS WHITE X	Dingbats	dejavu	uni2756	Dingbats	no	
U+2758	❘	LIGHT VERTICAL BAR	Dingbats	dejavu	uni2758	Dingbats	no	
U+2759	❙	MEDIUM VERTICAL BAR	Dingbats	dejavu	uni2759	Dingbats	no	
U+275A	❚	HEAVY VERTICAL BAR	Dingbats	dejavu	uni275A	Dingbats	no	
U+275B	❛	HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT	Dingbats	dejavu	uni275B	Dingbats	no	
U+275C	❜	HEAVY SINGLE COMMA QUOTATION MARK ORNAMENT	Dingbats	dejavu	uni275C	Dingbats	no	
U+275D	❝	HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT	Dingbats	dejavu	uni275D	Dingbats	no	
U+275E	❞	HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT	Dingbats	dejavu	uni275E	Dingbats	no	
U+2761	❡	CURVED STEM PARAGRAPH SIGN ORNAMENT	Dingbats	dejavu	uni2761	Dingbats	no	
U+2762	❢	HEAVY EXCLAMATION MARK ORNAMENT	Dingbats	dejavu	uni2762	Dingbats	no	
U+2763	❣	HEAVY HEART EXCLAMATION MARK ORNAMENT	Dingbats	dejavu	uni2763	Dingbats	no	
U+2764	❤	HEAVY BLACK HEART	Dingbats	dejavu	uni2764	Dingbats	no	
U+2765	❥	ROTATED HEAVY BLACK HEART BULLET	Dingbats	dejavu	uni2765	Dingbats	no	
U+2766	❦	FLORAL HEART	Dingbats	dejavu	uni2766	Dingbats	no	
U+2767	❧	ROTATED FLORAL HEART BULLET	Dingbats	dejavu	uni2767	Dingbats	no	
U+2768	❨	MEDIUM LEFT PARENTHESIS ORNAMENT	Dingbats	dejavu	uni2768	Dingbats	no	
U+2769	❩	MEDIUM RIGHT PARENTHESIS ORNAMENT	Dingbats	dejavu	uni2769	Dingbats	no	
U+276A	❪	MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT	Dingbats	dejavu	uni276A	Dingbats	no	
U+276B	❫	MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT	Dingbats	dejavu	uni276B	Dingbats	no	
U+276C	❬	MEDIUM LEFT-POINTING ANGLE BRACKET ORNAMENT	Dingbats	dejavu	uni276C	Dingbats	no	
U+276D	❭	MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT	Dingbats	dejavu	uni276D	Dingbats	no	
U+276E	❮	HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT	Dingbats	dejavu	uni276E	Dingbats	no	
U+276F	❯	HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT	Dingbats	dejavu	uni276F	Dingbats	no	
U+2770	❰	HEAVY LEFT-POINTING ANGLE BRACKET ORNAMENT	Dingbats	dejavu	uni2770	Dingbats	no	
